선수,연도,팀,연봉(만원),WAR
정인욱,2017,삼성,"7,200",-0.61
김기태,2017,삼성,"6,500",
이영욱,2017,삼성,"6,500",-0.091
장필준,2017,삼성,"6,500",1.301
이승현,2017,삼성,"6,200",0.302
김현우,2017,삼성,"5,500",-0.135
우동균,2017,삼성,"5,500",-0.269
신용운,2017,삼성,"5,500",
김헌곤,2017,삼성,"5,000",0.281
김동호,2017,삼성,"5,000",0.157
김정혁,2017,삼성,"4,300",0.137
나성용,2017,삼성,"3,900",-0.185
임대한,2017,삼성,"3,700",-0.301
정병곤,2017,삼성,"3,500",0.274
성의준,2017,삼성,"3,500",-0.119
임현준,2017,삼성,"3,200",0.114
최충연,2017,삼성,"3,000",-0.596
권정웅,2017,삼성,"3,000",0.191
박민규,2017,삼성,"3,000",
최영진,2017,삼성,"3,000",0.111
김민수,2017,삼성,"3,000",-0.168
이수민,2017,삼성,"3,000",-0.066
윤영수,2017,삼성,"2,900",
김승현,2017,삼성,"2,900",0.246
구준범,2017,삼성,"2,800",
안성무,2017,삼성,"2,800",-0.096
황선도,2017,삼성,"2,800",
최민구,2017,삼성,"2,800",
안규현,2017,삼성,"2,800",-0.017
이현동,2017,삼성,"2,800",-0.028
윤대경,2017,삼성,"2,800",
문선엽,2017,삼성,"2,700",-0.096
안주형,2017,삼성,"2,700",-0.338
김성윤,2017,삼성,"2,700",-0.048
나원탁,2017,삼성,"2,700",-0.087
최지광,2017,삼성,"2,700",-0.13
장지훈,2017,삼성,"2,700",0.107
김시현,2017,삼성,"2,700",-0.029
이케빈,2017,삼성,"2,700",
김성훈,2017,삼성,"2,700",1.042
김결의,2017,삼성,"2,700",
최종현,2017,삼성,"2,700",
문용익,2017,삼성,"2,700",
김태수,2017,삼성,"2,700",
곽경문,2017,삼성,"2,700",
조현덕,2017,삼성,"2,700",
정성훈,2017,삼성,"2,700",
황수범,2017,삼성,"2,700",-0.809
최선호,2017,삼성,0,
니퍼트,2017,두산,"210,000",3.444
보우덴,2017,두산,"110,000",1.17
장원준,2017,두산,"100,000",5.406
에반스,2017,두산,"68,000",3.43
김재호,2017,두산,"65,000",2.739
오재원,2017,두산,"55,000",0.314
민병헌,2017,두산,"55,000",2.952
유희관,2017,두산,"50,000",2.327
양의지,2017,두산,"48,000",3.162
이현승,2017,두산,"40,000",1.453
허경민,2017,두산,"30,000",0.622
김재환,2017,두산,"20,000",7.369
오재일,2017,두산,"19,800",3.886
박건우,2017,두산,"19,500",6.805
이용찬,2017,두산,"18,000",1.229
김성배,2017,두산,"15,000",0.476
홍상삼,2017,두산,"12,500",-0.377
최주환,2017,두산,"10,000",2.854
김승회,2017,두산,"10,000",0.894
오현택,2017,두산,"8,000",
함덕주,2017,두산,"7,000",3.221
고원준,2017,두산,"6,800",-0.378
김강률,2017,두산,"6,200",2.328
박세혁,2017,두산,"6,000",1.232
이현호,2017,두산,"6,000",-0.372
신성현,2017,두산,"5,700",
류지혁,2017,두산,"5,700",0.237
국해성,2017,두산,"5,000",-0.182
정진호,2017,두산,"4,700",0.233
고봉재,2017,두산,"4,400",0.041
안규영,2017,두산,"4,000",-0.207
조수행,2017,두산,"3,600",0.491
임진우,2017,두산,"3,200",-0.099
조승수,2017,두산,"3,100",0
홍영현,2017,두산,"3,100",
김인태,2017,두산,"3,000",-0.148
최병욱,2017,두산,"2,900",
이우성,2017,두산,"2,800",-0.052
이용호,2017,두산,"2,800",-0.037
이성곤,2017,두산,"2,800",-0.033
남경호,2017,두산,"2,800",
지윤,2017,두산,"2,700",
전태준,2017,두산,"2,700",
최동현,2017,두산,"2,700",
박치국,2017,두산,"2,700",-0.197
박유연,2017,두산,"2,700",0.01
백민규,2017,두산,"2,700",
이병휘,2017,두산,"2,700",
박찬범,2017,두산,"2,700",
정인석,2017,두산,"2,700",
방건우,2017,두산,"2,700",
정기훈,2017,두산,"2,700",
박성환,2017,두산,"2,700",
문대원,2017,두산,"2,700",
김명신,2017,두산,"2,700",0.776
한주성,2017,두산,"2,700",
전용훈,2017,두산,"2,700",0.028
이동원,2017,두산,"2,700",
정진철,2017,두산,"2,700",
이원재,2017,두산,"2,700",
성영훈,2017,두산,"2,700",0.052
장민익,2017,두산,"2,700",0.094
황경태,2017,두산,"2,700",0.001
이찬기,2017,두산,"2,700",
문진제,2017,두산,"2,700",
이영하,2017,두산,"2,700",0.239
김민혁,2017,두산,0,-0.184
최현진,2017,두산,0,
최정,2017,SK,"120,000",6.68
김광현,2017,SK,"90,000",
켈리,2017,SK,"85,000",5.06
워스,2017,SK,"70,000",-0.106
다이아몬드,2017,SK,"60,000",2.629
김강민,2017,SK,"60,000",0.059
박정권,2017,SK,"40,000",0.782
이대수,2017,SK,"35,000",0.347
이재원,2017,SK,"35,000",0.222
조동화,2017,SK,"30,000",
로맥,2017,SK,"30,000",1.756
정의윤,2017,SK,"30,000",1.302
김성현,2017,SK,"28,000",0.863
박재상,2017,SK,"25,000",
채병용,2017,SK,"25,000",-0.393
박희수,2017,SK,"21,000",-0.097
윤희상,2017,SK,"15,000",0.209
나주환,2017,SK,"15,000",1.647
신재웅,2017,SK,"12,000",1.069
전유수,2017,SK,"11,000",0.033
박종훈,2017,SK,"10,000",3.485
이홍구,2017,SK,"10,000",
임준혁,2017,SK,"10,000",0.553
박정배,2017,SK,"8,000",1.91
한동민,2017,SK,"7,000",3.998
김재현,2017,SK,"7,000",-0.194
노수광,2017,SK,"6,800",
최승준,2017,SK,"6,200",-0.143
이성우,2017,SK,"6,000",0.265
김주한,2017,SK,"5,700",0.022
김동엽,2017,SK,"4,700",1.526
문광은,2017,SK,"4,500",-0.247
문승원,2017,SK,"4,400",1.667
허웅,2017,SK,"4,000",
윤정우,2017,SK,"4,000",
서진용,2017,SK,"4,000",1.263
정영일,2017,SK,"4,000",-0.335
박승욱,2017,SK,"3,500",-0.24
허건엽,2017,SK,"3,300",-0.099
김도현,2017,SK,"3,200",
조용호,2017,SK,"3,100",0.215
김찬호,2017,SK,"2,900",-0.116
정진기,2017,SK,"2,900",0.015
김태훈,2017,SK,"2,800",-0.151
이정담,2017,SK,"2,800",
박종욱,2017,SK,"2,700",
안상현,2017,SK,"2,700",
김주온,2017,SK,"2,700",
박성한,2017,SK,"2,700",-0.054
권기영,2017,SK,"2,700",
이원준,2017,SK,"2,700",
남윤성,2017,SK,"2,700",
김대유,2017,SK,"2,700",-0.077
이건욱,2017,SK,"2,700",-0.165
김정빈,2017,SK,"2,700",-0.014
허웅,2017,SK,"2,700",
정동윤,2017,SK,"2,700",-0.011
임석진,2017,SK,"2,700",
박세웅,2017,SK,"2,700",
임치영,2017,SK,"2,700",-0.003
최항,2017,SK,0,0.452
허프,2017,LG,"100,000",4.959
차우찬,2017,LG,"100,000",4.228
박용택,2017,LG,"80,000",3.699
히메네스,2017,LG,"70,000",1.251
이동현,2017,LG,"60,000",0.412
소사,2017,LG,"50,000",4.166
정상호,2017,LG,"50,000",0.329
류제국,2017,LG,"35,000",0.239
봉중근,2017,LG,"35,000",
오지환,2017,LG,"35,000",2.74
양상문,2017,LG,"30,000",
정성훈,2017,LG,"30,000",1.258
로니,2017,LG,"25,000",0.35
임정우,2017,LG,"22,000",0.438
손주인,2017,LG,"20,000",1.249
채은성,2017,LG,"16,000",-0.504
이병규,2017,LG,"12,000",-0.135
김용의,2017,LG,"12,000",0.199
진해수,2017,LG,"11,000",1.35
김지용,2017,LG,"10,000",0.289
유강남,2017,LG,"10,000",2.559
임훈,2017,LG,"10,000",-0.251
신승현,2017,LG,"10,000",0.184
윤지웅,2017,LG,"9,500",0.441
이천웅,2017,LG,"9,300",0.886
양석환,2017,LG,"9,000",1.647
문선재,2017,LG,"8,000",0.249
신정락,2017,LG,"7,500",-0.206
임찬규,2017,LG,"6,500",1.339
이준형,2017,LG,"6,500",
최재원,2017,LG,"6,500",-0.798
이형종,2017,LG,"6,000",2.706
최동환,2017,LG,"6,000",0.064
유원상,2017,LG,"6,000",-0.076
정주현,2017,LG,"6,000",-0.324
서상우,2017,LG,"5,500",-0.015
안익훈,2017,LG,"5,000",0.899
장진용,2017,LG,"5,000",
황목치승,2017,LG,"5,000",-0.355
정찬헌,2017,LG,"4,500",-0.16
최성훈,2017,LG,"4,500",0.299
백창수,2017,LG,"4,200",0.897
여건욱,2017,LG,"4,000",0.216
윤진호,2017,LG,"4,000",-0.069
강승호,2017,LG,"3,500",0.628
박재욱,2017,LG,"3,500",
장준원,2017,LG,"3,200",-0.127
유재유,2017,LG,"3,000",0.118
김재민,2017,LG,"3,000",
유경국,2017,LG,"3,000",
김대현,2017,LG,"3,000",0.496
조윤준,2017,LG,"3,000",-0.224
배민관,2017,LG,"3,000",-0.073
김재율,2017,LG,"2,900",0.777
이창율,2017,LG,"2,700",
김성협,2017,LG,"2,700",
박부성,2017,LG,"2,700",
오상엽,2017,LG,"2,700",
김태영,2017,LG,"2,700",
이창호,2017,LG,"2,700",
이찬혁,2017,LG,"2,700",
손주영,2017,LG,"2,700",0.098
고우석,2017,LG,"2,700",0.394
송윤준,2017,LG,"2,700",
김주성,2017,LG,"2,700",0.052
오석주,2017,LG,"2,700",
신경모,2017,LG,"2,700",
김광수,2017,LG,"2,700",
김태형,2017,LG,"2,700",
전준호,2017,LG,"2,700",
김기연,2017,LG,"2,700",
나규호,2017,LG,"2,400",
